# Wavelength [nm]	Power [dBm]
1530.0000000000	-87.3120739000
1530.0020000000	-85.1538040000
1530.0040000000	-83.8240066000
1530.0060000000	-83.2840865000
1530.0080000000	-83.2135194000
1530.0100000000	-83.6873107000
1530.0120000000	-84.1773046000
1530.0140000000	-84.0151387000
1530.0160000000	-84.2514340000
1530.0180000000	-85.4015083000
1530.0200000000	-88.4137119000
1530.0220000000	-100.0000000000
1530.0240000000	-100.0000000000
1530.0260000000	-100.0000000000
1530.0280000000	-100.0000000000
1530.0300000000	-100.0000000000
1530.0320000000	-100.0000000000
1530.0340000000	-100.0000000000
1530.0360000000	-100.0000000000
1530.0380000000	-90.6644725000
1530.0400000000	-90.6464086000
1530.0420000000	-89.4186640000
1530.0440000000	-89.9473810000
1530.0460000000	-90.6338254000
1530.0480000000	-87.6095384000
1530.0500000000	-87.1687009000
1530.0520000000	-91.0299855000
1530.0540000000	-100.0000000000
1530.0560000000	-100.0000000000
1530.0580000000	-100.0000000000
1530.0600000000	-100.0000000000
1530.0620000000	-100.0000000000
1530.0640000000	-100.0000000000
1530.0660000000	-100.0000000000
1530.0680000000	-100.0000000000
1530.0700000000	-100.0000000000
1530.0720000000	-100.0000000000
1530.0740000000	-100.0000000000
1530.0760000000	-100.0000000000
1530.0780000000	-100.0000000000
1530.0800000000	-100.0000000000
1530.0820000000	-100.0000000000
1530.0840000000	-100.0000000000
1530.0860000000	-100.0000000000
1530.0880000000	-100.0000000000
1530.0900000000	-100.0000000000
1530.0920000000	-100.0000000000
1530.0940000000	-100.0000000000
1530.0960000000	-100.0000000000
1530.0980000000	-100.0000000000
1530.1000000000	-100.0000000000
1530.1020000000	-100.0000000000
1530.1040000000	-100.0000000000
1530.1060000000	-100.0000000000
1530.1080000000	-100.0000000000
1530.1100000000	-100.0000000000
1530.1120000000	-100.0000000000
1530.1140000000	-100.0000000000
1530.1160000000	-96.5299458000
1530.1180000000	-86.7316799000
1530.1200000000	-83.4202778000
1530.1220000000	-82.0503135000
1530.1240000000	-81.7787435000
1530.1260000000	-81.5722951000
1530.1280000000	-81.8673390000
1530.1300000000	-81.9284428000
1530.1320000000	-81.4765868000
1530.1340000000	-81.1660973000
1530.1360000000	-80.7341984000
1530.1380000000	-80.5054707000
1530.1400000000	-81.0639666000
1530.1420000000	-82.1094011000
1530.1440000000	-82.5069081000
1530.1460000000	-83.0605100000
1530.1480000000	-83.8417275000
1530.1500000000	-83.5205553000
1530.1520000000	-82.9785346000
1530.1540000000	-83.0793628000
1530.1560000000	-84.3992041000
1530.1580000000	-85.6329745000
1530.1600000000	-84.3148250000
1530.1620000000	-82.7583317000
1530.1640000000	-81.8241164000
1530.1660000000	-82.3754050000
1530.1680000000	-84.1696433000
1530.1700000000	-86.0473590000
1530.1720000000	-89.6563469000
1530.1740000000	-100.0000000000
1530.1760000000	-100.0000000000
1530.1780000000	-100.0000000000
1530.1800000000	-100.0000000000
1530.1820000000	-100.0000000000
1530.1840000000	-100.0000000000
1530.1860000000	-100.0000000000
1530.1880000000	-100.0000000000
1530.1900000000	-100.0000000000
1530.1920000000	-100.0000000000
1530.1940000000	-100.0000000000
1530.1960000000	-100.0000000000
1530.1980000000	-100.0000000000
1530.2000000000	-100.0000000000
1530.2020000000	-100.0000000000
1530.2040000000	-100.0000000000
1530.2060000000	-100.0000000000
1530.2080000000	-90.7082667000
1530.2100000000	-98.6905535000
1530.2120000000	-100.0000000000
1530.2140000000	-100.0000000000
1530.2160000000	-100.0000000000
1530.2180000000	-100.0000000000
1530.2200000000	-100.0000000000
1530.2220000000	-100.0000000000
1530.2240000000	-100.0000000000
1530.2260000000	-89.0418847000
1530.2280000000	-87.1796264000
1530.2300000000	-87.7309264000
1530.2320000000	-89.2692685000
1530.2340000000	-89.1064400000
1530.2360000000	-87.7581397000
1530.2380000000	-85.2752995000
1530.2400000000	-83.9020686000
1530.2420000000	-83.2351003000
1530.2440000000	-81.9340920000
1530.2460000000	-80.5872533000
1530.2480000000	-80.3776782000
1530.2500000000	-80.6168791000
1530.2520000000	-81.3289310000
1530.2540000000	-81.6450360000
1530.2560000000	-81.8511709000
1530.2580000000	-81.6869515000
1530.2600000000	-80.6551927000
1530.2620000000	-79.6348503000
1530.2640000000	-79.6056267000
1530.2660000000	-80.0938235000
1530.2680000000	-80.3198014000
1530.2700000000	-79.9478309000
