# Wavelength [nm]	Power [dBm]
1505.0000000000	-100.0000000000
1505.0020000000	-100.0000000000
1505.0040000000	-100.0000000000
1505.0060000000	-100.0000000000
1505.0080000000	-100.0000000000
1505.0100000000	-100.0000000000
1505.0120000000	-100.0000000000
1505.0140000000	-100.0000000000
1505.0160000000	-84.1588898000
1505.0180000000	-82.0004855000
1505.0200000000	-78.0124099000
1505.0220000000	-72.9737220000
1505.0240000000	-70.3971660000
1505.0260000000	-69.3963323000
1505.0280000000	-69.7707875000
1505.0300000000	-71.9875480000
1505.0320000000	-78.0332090000
1505.0340000000	-100.0000000000
1505.0360000000	-84.4126396000
1505.0380000000	-76.2640582000
1505.0400000000	-74.1228176000
1505.0420000000	-74.3718365000
1505.0440000000	-75.8710444000
1505.0460000000	-76.0571489000
1505.0480000000	-75.5923463000
1505.0500000000	-74.8855870000
1505.0520000000	-74.2169823000
1505.0540000000	-75.8468505000
1505.0560000000	-100.0000000000
1505.0580000000	-100.0000000000
1505.0600000000	-100.0000000000
1505.0620000000	-100.0000000000
1505.0640000000	-100.0000000000
1505.0660000000	-100.0000000000
1505.0680000000	-100.0000000000
1505.0700000000	-100.0000000000
1505.0720000000	-100.0000000000
1505.0740000000	-100.0000000000
1505.0760000000	-100.0000000000
1505.0780000000	-100.0000000000
1505.0800000000	-100.0000000000
1505.0820000000	-100.0000000000
1505.0840000000	-100.0000000000
1505.0860000000	-100.0000000000
1505.0880000000	-100.0000000000
1505.0900000000	-100.0000000000
1505.0920000000	-100.0000000000
1505.0940000000	-100.0000000000
1505.0960000000	-100.0000000000
1505.0980000000	-100.0000000000
1505.1000000000	-100.0000000000
1505.1020000000	-100.0000000000
1505.1040000000	-100.0000000000
1505.1060000000	-100.0000000000
1505.1080000000	-100.0000000000
1505.1100000000	-100.0000000000
1505.1120000000	-100.0000000000
1505.1140000000	-100.0000000000
1505.1160000000	-100.0000000000
1505.1180000000	-100.0000000000
1505.1200000000	-100.0000000000
1505.1220000000	-100.0000000000
1505.1240000000	-100.0000000000
1505.1260000000	-100.0000000000
1505.1280000000	-100.0000000000
1505.1300000000	-100.0000000000
1505.1320000000	-100.0000000000
1505.1340000000	-100.0000000000
1505.1360000000	-100.0000000000
1505.1380000000	-100.0000000000
1505.1400000000	-100.0000000000
1505.1420000000	-100.0000000000
1505.1440000000	-100.0000000000
1505.1460000000	-100.0000000000
1505.1480000000	-100.0000000000
1505.1500000000	-100.0000000000
1505.1520000000	-100.0000000000
1505.1540000000	-100.0000000000
1505.1560000000	-100.0000000000
1505.1580000000	-100.0000000000
1505.1600000000	-100.0000000000
1505.1620000000	-100.0000000000
1505.1640000000	-100.0000000000
1505.1660000000	-100.0000000000
1505.1680000000	-100.0000000000
1505.1700000000	-100.0000000000
1505.1720000000	-100.0000000000
1505.1740000000	-100.0000000000
1505.1760000000	-100.0000000000
1505.1780000000	-100.0000000000
1505.1800000000	-100.0000000000
1505.1820000000	-100.0000000000
1505.1840000000	-100.0000000000
